method,n_samples,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49
0.5*CPI,100,0.1342462098705859,1.0,0.005485902076721505,1.0,-0.016643916511156043,1.0,0.0617827647136715,1.0,0.014627915266120173,1.0,-0.0009563376261443324,0.0,-0.0010674813443996012,0.0,0.0026080010123803454,0.0,-0.001172118805951694,0.0,0.002930591684121797,0.0,0.000663883854681524,0.0,-0.008303429518811578,0.0,0.0021762683893644663,0.0,-0.0017996833914244448,0.0,-0.00021681187692079718,0.0,0.0008521976854027891,0.0,0.002000937905304756,0.0,-0.0012248761477371417,0.0,0.0001050423085544594,0.0,-0.0020153241080471673,0.0,-0.002545092815695371,0.0,0.0020038114979490373,0.0,-0.01747931672381209,0.0,0.001868567562157697,0.0,-0.0005035771593320248,0.0,-7.287871624495068e-05,0.0,0.0005422824698151363,0.0,-0.0005172510429303223,0.0,0.013310359353453372,0.0,0.00033177150560459445,0.0,0.005434327392852767,0.0,-0.002752303947756607,0.0,0.00037050161043716834,0.0,-5.6262588966626836e-05,0.0,0.00548924592431721,0.0,0.003490537642232505,0.0,-0.004712195273248954,0.0,0.002680812047513692,0.0,-0.002646022178646401,0.0,-0.014906025961067604,0.0,0.004144430814235989,0.0,0.001992322934899482,0.0,-0.00524280654212439,0.0,-0.0016642786427412126,0.0,-0.016183820523633097,0.0,-0.004985353197384246,0.0,0.00941562608580404,0.0,0.003101293768730251,0.0,-0.002254685965159986,0.0,0.0006848786265394313,0.0
0.5*CPI,250,0.5269659010720746,1.0,0.0027061658853564374,1.0,0.006458738806003117,1.0,0.22386007580377232,1.0,0.16565936161132555,1.0,-0.06980252820354638,0.0,-0.0013293251164983033,0.0,0.0016356607519567579,0.0,0.004143143108687797,0.0,0.0014838594367370117,0.0,0.0036640641869289947,0.0,0.005347886754654363,0.0,0.00037741569800364694,0.0,0.0008270053134835642,0.0,-0.0001276403630314782,0.0,0.005318239680914383,0.0,0.0020586984748942605,0.0,-0.0028855576906710034,0.0,-0.000191496497717214,0.0,0.003278245790588441,0.0,0.007077004651843133,0.0,-0.0010096807764650162,0.0,-0.0007635051700016771,0.0,-0.002015707388979493,0.0,-0.005591304695993449,0.0,-0.0004184551453028096,0.0,0.0018663792087489917,0.0,-0.00030436817810164385,0.0,-0.009973288490041199,0.0,0.00519973005754415,0.0,-0.0006885840050321335,0.0,0.0028326583602080735,0.0,0.004255773372380922,0.0,0.0015296378345162065,0.0,-0.0016353392480406015,0.0,0.0037152498068413475,0.0,-0.003931209538417191,0.0,0.0013607594290587777,0.0,-0.0007400192891451329,0.0,0.0013769106527130592,0.0,0.0022679567337555717,0.0,0.0010593270338510319,0.0,0.002449490106146701,0.0,-0.00214940021775778,0.0,-0.001242836253783297,0.0,-0.0014982514462766883,0.0,0.004031591504261023,0.0,0.0007508479726507922,0.0,0.0014900118376295346,0.0,0.0002226920554029288,0.0
0.5*CPI,500,0.12112829294619654,1.0,0.042529875793644645,1.0,0.054903448229494334,1.0,0.34505355866876003,1.0,0.16873316382583897,1.0,-0.00036336673696762967,0.0,-0.00047699045851368194,0.0,-0.012975726581526736,0.0,-0.0002963554580399652,0.0,0.00490243159200332,0.0,-0.0018649564455350265,0.0,0.00717994924384574,0.0,0.012054900666164825,0.0,-0.0026735687405723407,0.0,0.0015675822305519782,0.0,0.0071967218184647574,0.0,0.0023771833524611208,0.0,-0.0014146771375074807,0.0,0.0017349369551217797,0.0,0.002012612336598163,0.0,0.0019820250431662467,0.0,-0.009003141129013237,0.0,-0.0019547300747331797,0.0,0.0006163373945477502,0.0,-0.004143519562207543,0.0,0.009633950221012044,0.0,0.0024318280103427514,0.0,0.003568925042269966,0.0,-0.003359017430785649,0.0,9.82132617798337e-05,0.0,0.0005427723420809993,0.0,0.00036508584527494836,0.0,0.011643043187027913,0.0,-0.004952071568358807,0.0,-0.002495518136874375,0.0,-0.0049819560068319335,0.0,-0.004147029763023835,0.0,-0.002254346436109167,0.0,-1.6814935117626106e-05,0.0,0.0031447739151195253,0.0,-0.002176563886879035,0.0,0.0031719336451654367,0.0,0.0025995790136217334,0.0,0.0052634184635632075,0.0,-0.002553164326464352,0.0,0.0007338632452686955,0.0,-0.0030244935266297013,0.0,0.0011017088633373806,0.0,-0.008520507744377626,0.0,-0.0032870295690937135,0.0
0.5*CPI,1000,0.06584858058870002,1.0,0.059476720582343934,1.0,0.0684434188278435,1.0,0.440229864987852,1.0,0.40717633650486873,1.0,0.009063324922601201,0.0,0.0012638586525597906,0.0,-0.0015418427175786231,0.0,-0.00017724272483282677,0.0,0.00014054143574443456,0.0,0.00012493657597156815,0.0,0.0009328370463315139,0.0,0.0014434342382382281,0.0,0.0033263767943114697,0.0,-0.0007297339077760867,0.0,-2.3226139203247342e-05,0.0,0.00030494449589918426,0.0,-0.0005209736833030054,0.0,-0.003384489627963949,0.0,0.001820084876973882,0.0,0.0003533835975993993,0.0,-0.00011872361089360073,0.0,-0.0015512713232994635,0.0,-0.002601493587323145,0.0,0.0017994536708252906,0.0,-0.0009832982691447278,0.0,-0.0006854190418055794,0.0,-0.0017566380891025357,0.0,-0.002354816308178964,0.0,0.0002430083863417809,0.0,-0.002991706888715695,0.0,-0.0009498322817929061,0.0,0.002139049172313612,0.0,-0.0007415410292419544,0.0,0.0010369618529055824,0.0,0.004294406672945006,0.0,-0.004774555575572159,0.0,-0.002168202914909767,0.0,-0.0007990308136455182,0.0,0.0014793665075460982,0.0,-0.001225398219455054,0.0,0.0006447148444115314,0.0,0.0031940398871673215,0.0,-0.0024079328934782374,0.0,-0.0004149944198776345,0.0,-0.0011924886023509385,0.0,0.0008288440850548473,0.0,-0.0012984214511060355,0.0,0.003075308696623369,0.0,0.0035313768946327317,0.0
0.5*CPI,2000,0.19492508445754586,1.0,0.12139120089290045,1.0,0.187099066611165,1.0,0.7378901773034081,1.0,0.579377337016429,1.0,0.006603801858221875,0.0,-0.0008220696104646597,0.0,0.0028336435864680376,0.0,-0.0006026807635621245,0.0,6.563555686056599e-05,0.0,0.0007271512575665606,0.0,-0.00813630995428069,0.0,0.0004174493678637814,0.0,0.0019745731860926763,0.0,-0.0008255182755730894,0.0,0.00198197102095643,0.0,5.1155918040668436e-05,0.0,0.0007213805465257905,0.0,-0.0016651184927321538,0.0,0.0008530059646545962,0.0,-0.002633463485223364,0.0,0.0006440465453505795,0.0,0.0004435505813694951,0.0,0.00043321174630178705,0.0,0.0003201329273457565,0.0,0.0020334929016426473,0.0,0.0009789483896105455,0.0,-0.00023648657415492602,0.0,-0.0002354467773636182,0.0,0.0002548700764194167,0.0,0.00013757909504416577,0.0,0.0009146263036818592,0.0,0.0008225809410955798,0.0,0.0005010034280307218,0.0,-0.00024607225890141415,0.0,0.0007143667859712544,0.0,-0.0004440524424968728,0.0,0.0015862091663080002,0.0,-0.0008444196828581996,0.0,0.0005413873082918685,0.0,-0.0011134067911872103,0.0,-2.1247748935443456e-05,0.0,0.0004831116291492965,0.0,-0.001836748277505157,0.0,-0.001329424255255507,0.0,0.0003790108055593544,0.0,-0.003495988974692582,0.0,0.0003164907194208866,0.0,-0.0001616191025654301,0.0,-0.0003706924829366687,0.0
0.5*CPI,5000,0.27860136360382765,1.0,0.18719806794542532,1.0,0.4430424675770286,1.0,0.8152114932013418,1.0,0.8093837694936894,1.0,0.0007147854217334215,0.0,-0.0003692016799825143,0.0,-0.0005446975479077992,0.0,2.976486372388565e-06,0.0,-0.0003761877490476989,0.0,0.00013331532049566663,0.0,-2.1232901477027943e-05,0.0,-0.0003356387170577041,0.0,0.0001776331147247262,0.0,8.876256962632445e-05,0.0,0.00014335055130694496,0.0,0.0001258462003283639,0.0,-0.0003015113962130389,0.0,-0.0001931986763600707,0.0,7.904356190052697e-05,0.0,0.00019076244939725262,0.0,-9.321780260965196e-05,0.0,0.0001608081971147396,0.0,-8.796668047089673e-05,0.0,0.0014238970879654894,0.0,-0.00014135122566663605,0.0,0.0002879661582288473,0.0,3.470744594778752e-05,0.0,0.0007697226853094208,0.0,-0.00047145922308074184,0.0,6.600568155602782e-05,0.0,7.387560413962824e-06,0.0,-0.0003385292281721658,0.0,-8.600144698046874e-05,0.0,-9.210215225699536e-05,0.0,-3.892376805146591e-05,0.0,0.0008138375060210978,0.0,5.4875813752727765e-05,0.0,-0.0003807479986402823,0.0,-6.796829252035674e-05,0.0,-0.0026938759728950545,0.0,-0.00013096234744140733,0.0,0.0012299275262452197,0.0,0.0007030006262602889,0.0,0.00014654211783179938,0.0,-0.0001787090170923128,0.0,0.00015643556707202466,0.0,-0.00013791676020222243,0.0,-0.00016564675195221423,0.0,0.0005690176935190944,0.0
PFI,100,0.08007402980128964,1.0,-0.020059728039861113,1.0,-0.0086121846078977,1.0,0.02535686995262898,1.0,0.00788850884257375,1.0,-0.003224927601184868,0.0,0.0025203287176447375,0.0,0.0040790532251677725,0.0,-0.0024683780064762573,0.0,-0.0024913710762126673,0.0,-0.0008715608862488455,0.0,-0.005985412584079475,0.0,7.607680771082315e-05,0.0,-0.00021623452677954624,0.0,-0.0017218923334632041,0.0,-0.007778030579649986,0.0,-0.0027930994302125534,0.0,0.006687159070280613,0.0,0.0005182364907760917,0.0,-0.0018571951554033905,0.0,-0.002438149394771383,0.0,0.00019289428212831972,0.0,0.0003119662850834537,0.0,-0.0034532489980583225,0.0,-0.0020080282301320196,0.0,0.0016030706396708005,0.0,0.00035200784030231524,0.0,-0.002453708024372281,0.0,0.007915045828172707,0.0,0.0030049933766695958,0.0,-0.003217945780712439,0.0,-0.003146053319432518,0.0,-0.0007569064146140114,0.0,-0.0016189402343411707,0.0,0.0038040594850043963,0.0,-0.0017888687373435186,0.0,-0.006800177374339134,0.0,0.0005410527480871341,0.0,-0.0005033770327791398,0.0,-0.008019932100726601,0.0,0.006372143258499108,0.0,0.0002074506261642295,0.0,-0.006708125373253937,0.0,0.0015179876054620678,0.0,-0.008811232332471386,0.0,-0.0035563729655669896,0.0,0.013907352137640938,0.0,-0.0001652789342891925,0.0,-0.005619776935914089,0.0,-0.0003152324898114678,0.0
PFI,250,0.34168914768063186,1.0,0.011580531979066278,1.0,0.010113192604899846,1.0,0.13434441419507825,1.0,0.0060235717335852534,1.0,-0.001158537354435385,0.0,-0.0007872745140098392,0.0,0.0007493292431268728,0.0,0.0016007106867577114,0.0,-0.0001924306506742024,0.0,0.004139186130770023,0.0,0.0016025761098221736,0.0,0.001754696743936801,0.0,0.0006705512614062492,0.0,0.0007934178835788952,0.0,0.005452260108340656,0.0,0.001451434706246424,0.0,0.0004960116102299406,0.0,0.001262334814723598,0.0,0.0017452641379493983,0.0,0.005069193156399976,0.0,-0.001564629203198331,0.0,-0.00010809374344589173,0.0,-0.0013917432706886945,0.0,0.0005730647710142645,0.0,-0.001059297808381654,0.0,0.0006139613422893042,0.0,0.00032369818597288713,0.0,-0.007387448127397445,0.0,0.005688551728001423,0.0,0.0009323411987181007,0.0,0.0008109383213779076,0.0,0.006086609390848707,0.0,-0.0020207074324620766,0.0,-4.042697481132507e-05,0.0,0.0005374310616879097,0.0,-0.0027463637888800463,0.0,0.00027224439223183516,0.0,-0.00036739252197537375,0.0,-0.00033151730135028146,0.0,-0.0002002081937029221,0.0,-0.002372789657329122,0.0,-0.0004940923702243527,0.0,-0.0012792612848655516,0.0,-0.0023973010060984734,0.0,-0.0005456285785727655,0.0,0.0020385345384708042,0.0,-0.0004149348633786243,0.0,0.0013814569281664912,0.0,-0.00011419231254716777,0.0
PFI,500,0.15885486770927504,1.0,0.06487102017013602,1.0,0.09677931825592789,1.0,0.4997916452652359,1.0,0.22138460873763866,1.0,0.002056591196068047,0.0,-0.0047459937207670055,0.0,0.0019997034826934046,0.0,0.0010713296443074505,0.0,0.008520036011067877,0.0,-6.028733480101245e-05,0.0,0.009885751288450817,0.0,0.022410564706606628,0.0,-0.003961397072614892,0.0,-0.00639025692007078,0.0,0.01220161843375811,0.0,0.0023108234142981132,0.0,-0.005337640355445705,0.0,0.0011749495996657977,0.0,0.008346134629180102,0.0,0.004426324716676033,0.0,-0.008700149013325165,0.0,-7.134344651238411e-05,0.0,0.0039396215057889705,0.0,0.003516355206346189,0.0,0.009072157759709043,0.0,0.0021010487266640565,0.0,0.004197683175065525,0.0,-0.0009451622655517466,0.0,0.0008047095662631065,0.0,0.004157783591931752,0.0,-0.0045849819680127135,0.0,0.007996613919261653,0.0,-0.008557729271038705,0.0,-0.009104374864412734,0.0,-0.010312181510795049,0.0,-0.005261659580434785,0.0,-0.008379141643666377,0.0,0.0022402870902854533,0.0,0.0018180237064601146,0.0,-0.006514386460870436,0.0,0.004138103496989398,0.0,0.0009918665687735917,0.0,0.00011828603139707461,0.0,0.009585841272636952,0.0,0.0002687172878778066,0.0,-0.011193459080612755,0.0,-0.0014960090944124982,0.0,0.01518336830643674,0.0,0.00046936264096042457,0.0
PFI,1000,0.0788246516206792,1.0,0.10440314348685475,1.0,0.15271785120909376,1.0,0.5910066781074101,1.0,0.4818883960756948,1.0,0.013876358188753102,0.0,-0.0030916242315917053,0.0,-0.0061164889233594755,0.0,-0.004438978823370965,0.0,0.0015893356681644377,0.0,-0.005106430365039105,0.0,-0.002451577129002347,0.0,-0.007289934796417485,0.0,0.0017476979863804143,0.0,0.0029635855933670685,0.0,-0.0007333380334149098,0.0,0.0022576238305557217,0.0,-0.002391366520074767,0.0,-0.0036866705922178333,0.0,0.0006391688106176519,0.0,-0.0008595485527246316,0.0,-0.0028121174089171808,0.0,-0.003992512898388423,0.0,-0.004534924069428237,0.0,-0.001887947479944363,0.0,-4.994576219630176e-05,0.0,-0.003956037723832462,0.0,-0.0009209615951738526,0.0,-0.006194800263436107,0.0,-0.00353853753722555,0.0,-0.002905437645800424,0.0,-0.005313040738855523,0.0,0.011725746741841125,0.0,0.002308085717129482,0.0,0.0027620591143785456,0.0,0.010902238464413405,0.0,0.0024875047428346564,0.0,-0.002546847902515026,0.0,-0.002378309679362811,0.0,0.0015826695379709266,0.0,-0.004514836483980544,0.0,-0.004432353262463606,0.0,0.0031139198205476504,0.0,-0.0073052857146123085,0.0,0.002758011786298975,0.0,0.0022085968332603567,0.0,0.003468591404413024,0.0,4.8408405355027107e-05,0.0,0.008073285595382673,0.0,0.004948366600627363,0.0
